,pergunta,resposta,tipo,vaga,empresa
92,direct-cicd:há quantos anos você já usa integração e entrega contínuas (ci/cd) n...,3,text,Desenvolvedor Python Pleno,Capitani Grou
93,há quantos anos você já usa python no trabalho?,3,text,Desenvolvedor Python Pleno,Capitani Grou
94,há quantos anos você já usa integração e entrega contínuas (ci/cd) no trabalho?,3,text,Desenvolvedor Python Pleno,Capitani Grou
95,"Você trabalharia presencialmente? [  ""Sim""<Yes>, ""Não""<No>, ]","""Sim""<Yes>",radio,Desenvolvedor Python Pleno,Capitani Grou
96,quantos anos de experiência com tecnologia da informação você tem?,7,text,Desenvolvedor Python Pleno,Capitani Grou
97,"E-mail [  ""Select an option"", ""leonardorfragoso@gmail.com"", ]",Yes,select,Junior Python Developer - Remote,INDI Staffing Service
98,"Phone country code [ ""List of phone country codes"" ]",Yes,select,Junior Python Developer - Remote,INDI Staffing Service
99,telefone,21980292791,text,Junior Python Developer - Remote,INDI Staffing Service
100,"Você mora em São Paulo - SP? [  ""Selecionar opção"", ""Yes"", ""No"", ]",Yes,select,Backend Pleno,Hiflex Grou
101,Aceita trabalho hibrido (2 Dias Presenciais / 3 Dias Remotos) no cliente em São ...,No,select,Backend Pleno,Hiflex Grou
103,há quantos anos você já usa python no trabalho?,3,text,Backend Pleno,Hiflex Grou
104,"Alguns clientes nos exigem a checagem de antecedentes. Você concorda? [  ""Seleci...",Yes,select,Backend Pleno,Hiflex Grou
105,há quantos anos você já usa sql no trabalho?,3,text,Backend Pleno,Hiflex Grou
106,Aceita trabalho hibrido (2 Dias Presenciais / 3 Dias Remotos) no cliente em São ...,Yes,select,Backend Pleno,Hiflex Grou
108,"direct-salary:qual seria sua pretensão salarial, considerando contratação clt + ...",5000,text-or-textarea,Engenheiro de Dados - Remoto,Getronic
109,há quanto tempo você atua como engenheiro de dados?,3,text,Engenheiro de Dados - Remoto,Getronic
111,"qual seria sua pretensão salarial, considerando contratação clt + benefícios?",5000,text,Engenheiro de Dados - Remoto,Getronic
112,"Voce trabalharia presencialmente na Vila Olimpia? [  ""Selecionar opção"", ""Yes"", ...",Yes,select,Desenvolvedor,MUV Capita
113,qual a sua pretensão salarial?,5000,text,Desenvolvedor,MUV Capita
114,"Voce trabalharia presencialmente na Vila Olimpia? [  ""Selecionar opção"", ""Yes"", ...",No,select,Desenvolvedor,MUV Capita
115,direct-salary:qual a sua pretensão salarial?,5000,text-or-textarea,Desenvolvedor,MUV Capita
116,há quantos anos você já usa python no trabalho?,3,text,Engenheiro de dados - Finops,PSM COMPAN
117,há quantos anos você já usa finop no trabalho?,3,text,Engenheiro de dados - Finops,PSM COMPAN
119,há quantos anos você já usa amazon web services no trabalho?,3,text,Engenheiro de dados - Finops,PSM COMPAN
120,Possui quantos anos de experiência profissional com mensageria (Kafka/RabbitMQ/S...,No,select,Desenvolvedor(a) FullStack Pleno (Go/Angular),Code Grou
121,possui quanto tempo de experiência profissional com cloud (aws)?,3,text,Desenvolvedor(a) FullStack Pleno (Go/Angular),Code Grou
122,qual sua pretensão salarial?,5000,text,Desenvolvedor(a) FullStack Pleno (Go/Angular),Code Grou
123,possui quanto tempo de experiência profissional com bancos relacionais e não rel...,3,text,Desenvolvedor(a) FullStack Pleno (Go/Angular),Code Grou
124,possui quantos anos de experiência profissional com angular?,3,text,Desenvolvedor(a) FullStack Pleno (Go/Angular),Code Grou
126,direct-salary:qual sua pretensão salarial?,5000,text-or-textarea,Desenvolvedor(a) FullStack Pleno (Go/Angular),Code Grou
127,Possui quantos anos de experiência profissional com mensageria (Kafka/RabbitMQ/S...,Yes,select,Desenvolvedor(a) FullStack Pleno (Go/Angular),Code Grou
129,possui quantos anos de experiência profissional com go?,3,text,Desenvolvedor(a) FullStack Pleno (Go/Angular),Code Grou
132,há quantos anos você já usa java no trabalho?,0,text,Engenheiro (a) de Software Python Pleno,PDtec | Uma empresa B
133,há quantos anos você já usa python no trabalho?,3,text,Engenheiro (a) de Software Python Pleno,PDtec | Uma empresa B
134,há quantos anos você já usa api rest no trabalho?,1,text,Engenheiro (a) de Software Python Pleno,PDtec | Uma empresa B
135,qual e sua expectativa de taxa pj em reais por hora?,3,text,Desenvolvedor/a de IA (PJ | Híbrido),Hay
136,possui quanto tempo de atuação com rpa?,3,text,Desenvolvedor/a de IA (PJ | Híbrido),Hay
137,possui quantos anos de automação com power platforms?,3,text,Desenvolvedor/a de IA (PJ | Híbrido),Hay
138,possui quantos anos de atuação com desenvolvimento com copilot studio ou ferrame...,3,text,Desenvolvedor/a de IA (PJ | Híbrido),Hay
141,"Possui disponibilidade para atuação híbrida em Bela Vista -SP? [  ""Select an opt...",Yes,select,Desenvolvedor/a de IA (PJ | Híbrido),Hay
145,Você tem experiência prática com Clean Architecture ou outra abordagem de modula...,Yes,select,Desenvolvedor(a) Python - (Sênior),CWI Softwar
147,qual sua pretensão salarial em formato clt? (só contratamos nesse modelo),5000,text,Desenvolvedor(a) Python - (Sênior),CWI Softwar
148,direct-salary:qual sua pretensão salarial em formato clt? (só contratamos nesse ...,5000,text-or-textarea,Desenvolvedor(a) Python - (Sênior),CWI Softwar
149,"Possui experiência programação assíncrona (asyncio/aiohttp)? [  ""Selecionar opçã...",Yes,select,Desenvolvedor(a) Python - (Sênior),CWI Softwar
151,direct-salary:qual sua expectativa de remuneração para essa posição híbrida em s...,5000,text-or-textarea,Backend engineer,K2 Solution
152,Você se sente à vontade em equilibrar a manutenção de sistemas com o desenvolvim...,Yes,select,Backend engineer,K2 Solution
153,Você tem experiência em projetar APIs RESTful e serviços escaláveis com Node.js ...,Yes,select,Backend engineer,K2 Solution
154,Você prioriza a aplicação de boas práticas como testes automatizados e código li...,Yes,select,Backend engineer,K2 Solution
158,qual sua expectativa de remuneração para essa posição híbrida em sp - av. paulis...,5000,text,Backend engineer,K2 Solution
159,"Qual seu nível de proficiência em Inglês? [  ""Selecionar opção"", ""Nenhuma"", ""Con...",Yes,select,Desenvolvedor full stack,Hay
160,"Você trabalharia em um modelo híbrido? [  ""Sim""<Yes>, ""Não""<No>, ]","""Sim""<Yes>",radio,Desenvolvedor full stack,Hay
161,quantos anos de experiência com jurídico você tem?,3,text,Programador de Automação – Python + N8N,"Tortoro, Madureira & Ragazzi Advogado"
163,há quantos anos você já usa python no trabalho?,3,text,Programador de Automação – Python + N8N,"Tortoro, Madureira & Ragazzi Advogado"
164,qual a sua pretensão salarial para contratação clt?,5000,text,Desenvolvedor Júnior (Microsoft Power Platform),Imagem Geosistema
165,há quantos anos você já usa microsoft power platform no trabalho?,3,text,Desenvolvedor Júnior (Microsoft Power Platform),Imagem Geosistema
166,há quantos anos você já usa microsoft power automate no trabalho?,3,text,Desenvolvedor Júnior (Microsoft Power Platform),Imagem Geosistema
169,direct-salary:qual a sua pretensão salarial para contratação clt?,5000,text-or-textarea,Desenvolvedor Júnior (Microsoft Power Platform),Imagem Geosistema
170,"Código do país [  ""Selecionar opção"", ""Brasil (+55)"", ""Afeganistão (+93)"", ""Albâ...",Yes,select,Desenvolvedor Python,QiBi
171,telefone,21980292791,text,Desenvolvedor Python,QiBi
172,"E-mail [  ""Selecionar opção"", ""leonardorfragoso@gmail.com"", ]",Yes,select,Desenvolvedor Python,QiBi
176,há quantos anos você já usa banco de dados oracle no trabalho?,3,text,Python Developer,Tata Consultancy Service
177,há quantos anos você já usa sql no trabalho?,3,text,Python Developer,Tata Consultancy Service
178,há quantos anos você já usa soap no trabalho?,3,text,Python Developer,Tata Consultancy Service
181,há quantos anos você já usa java no trabalho?,0,text,Desenvolvedor Java,Empresa Confidencia
182,há quantos anos você já usa amazon web services no trabalho?,3,text,Desenvolvedor Java,Empresa Confidencia
183,há quantos anos você já usa sql no trabalho?,3,text,Desenvolvedor Java,Empresa Confidencia
184,qual a sua pretensão salarial?,5000,text,Full Stack Developer,Kamin
185,direct-salary:qual a sua pretensão salarial?,5000,text-or-textarea,Full Stack Developer,Kamin
186,"Você trabalharia remotamente? [  ""Sim""<Yes>, ""Não""<No>, ]","""Sim""<Yes>",radio,Desenvolvedor full stack,Exade
187,há quantos anos você já usa quarkus no trabalho?,3,text,Desenvolvedor full stack,Exade
188,há quantos anos você já usa desenvolvimento full stack no trabalho?,3,text,Desenvolvedor full stack,Exade
189,"Você tem experiência em Fix Protocol (Protocolo Fixo) [  ""Selecionar opção"", ""Ye...",Yes,select,Desenvolvedor full stack,Exade
190,há quantos anos você já usa java no trabalho?,0,text,Desenvolvedor full stack,Exade
194,qual seria sua pretensão salarial como clt ?,5000,text,Pessoa Desenvolvedora Full Stack PL,Cogna Educaçã
195,direct-salary:qual seria sua pretensão salarial como clt ?,5000,text-or-textarea,Pessoa Desenvolvedora Full Stack PL,Cogna Educaçã
196,"Você já atuou com o Headless CMS ou ferramentas similares ? [  ""Selecionar opção...",No,select,Pessoa Desenvolvedora Full Stack PL,Cogna Educaçã
197,"Você já atuou com o Headless CMS ou ferramentas similares ? [  ""Selecionar opção...",Yes,select,Pessoa Desenvolvedora Full Stack PL,Cogna Educaçã
198,direct-salary:please share your monthly salary expectations in usd for a contrac...,5000,text-or-textarea,Back End Developer Node.js - 4294616808,LaTeam Partner
199,how many years of work experience do you have with node.js?,1,text,Back End Developer Node.js - 4294616808,LaTeam Partner
200,how many years of work experience do you have with blockchain?,3,text,Back End Developer Node.js - 4294616808,LaTeam Partner
201,how many years of work experience do you have with cryptocurrency?,1,text,Back End Developer Node.js - 4294616808,LaTeam Partner
202,please share your monthly salary expectations in usd for a contractor role,5000,text,Back End Developer Node.js - 4294616808,LaTeam Partner
204,"Have you built interactive features with frameworks like React, Angular, and Vue...",Yes,select,Desenvolvedor full stack,EcommIT Integrated Solution
205,"Entrevista e dia a dia serão em inglês, se sente confortável com o idioma? [  ""S...",No,select,Desenvolvedor full stack,EcommIT Integrated Solution
206,"Have you designed and implemented server-side logic using Python, Java and Node....",Yes,select,Desenvolvedor full stack,EcommIT Integrated Solution
207,"Experience in designing, developing, and maintaining both front-end and back-end...",Yes,select,Desenvolvedor full stack,EcommIT Integrated Solution
208,"Have you built interactive features with frameworks like React, Angular, and Vue...",No,select,Desenvolvedor full stack,EcommIT Integrated Solution
209,"Have you built and maintained APIs and managed database interactions? [  ""Seleci...",Yes,select,Desenvolvedor full stack,EcommIT Integrated Solution
210,há quantos anos você já usa javascript no trabalho?,3,text,Desenvolvedor full stack,EcommIT Integrated Solution
211,"Qual seu nível de proficiência em Inglês? [  ""Selecionar opção"", ""Nenhuma"", ""Con...",Yes,select,Desenvolvedor full stack,EcommIT Integrated Solution
212,há quantos anos você já usa css no trabalho?,3,text,Desenvolvedor full stack,EcommIT Integrated Solution
213,há quantos anos você já usa html no trabalho?,3,text,Desenvolvedor full stack,EcommIT Integrated Solution
215,"Entrevista e dia a dia serão em inglês, se sente confortável com o idioma? [  ""S...",Yes,select,Desenvolvedor full stack,EcommIT Integrated Solution
218,"Código do país [  ""Selecionar opção"", ""Brasil (+55)"", ""Afeganistão (+93)"", ""Albâ...",Yes,select,Pessoa Engenheira de Software,Onz
219,"E-mail [  ""Selecionar opção"", ""leonardorfragoso@gmail.com"", ]",Yes,select,Pessoa Engenheira de Software,Onz
220,telefone,21980292791,text,Pessoa Engenheira de Software,Onz
221,qual é a sua pretensão salarial para uma contratação no regime pj?,7000,text,Desenvolvedor(a) Full Stack,SysManage
222,"Você tem experiência com microsserviços utilizando Spring ou Helidon MP? [  ""Sel...",Yes,select,Desenvolvedor(a) Full Stack,SysManage
223,"Você compreende o protocolo HTTP e o padrão REST, incluindo o uso de Jersey ou R...",Yes,select,Desenvolvedor(a) Full Stack,SysManage
224,"Você utiliza controle de versão com Git ou SVN? [  ""Selecionar opção"", ""Yes"", ""N...",Yes,select,Desenvolvedor(a) Full Stack,SysManage
225,direct-salary:qual é a sua pretensão salarial para uma contratação no regime pj?,7000,text-or-textarea,Desenvolvedor(a) Full Stack,SysManage
226,"Você possui experiência com com frameworks frontend como React ou Angular? [  ""S...",No,select,Desenvolvedor(a) Full Stack,SysManage
227,"Você possui conhecimento em JAX-RS (Jersey) e APIs REST? [  ""Selecionar opção"", ...",Yes,select,Desenvolvedor(a) Full Stack,SysManage
228,"Você já utilizou frameworks para microserviços como Helidon, MicroProfile, Micro...",No,select,Desenvolvedor(a) Full Stack,SysManage
229,"Você já utilizou frameworks para microserviços como Helidon, MicroProfile, Micro...",Yes,select,Desenvolvedor(a) Full Stack,SysManage
230,"Você possui experiência com com frameworks frontend como React ou Angular? [  ""S...",Yes,select,Desenvolvedor(a) Full Stack,SysManage
231,"Você possui experiência com Angular 6 ou superior, React, Vue, HTML, CSS e JavaS...",Yes,select,Desenvolvedor(a) Full Stack,SysManage
237,você tem quantos anos de experiência com front end?,3,text,Desenvolvedor de front-end,Stefanini Brasi
239,qual a sua pretensão salarial no clt?,5000,text,Desenvolvedor de front-end,Stefanini Brasi
240,direct-salary:qual a sua pretensão salarial no clt?,5000,text-or-textarea,Desenvolvedor de front-end,Stefanini Brasi
241,há quantos anos você já usa xml no trabalho?,1,text,Desenvolvedor(a) NodeJs,SIS Innov & Tec
242,há quantos anos você já usa java no trabalho?,0,text,Desenvolvedor(a) NodeJs,SIS Innov & Tec
243,há quantos anos você já usa node.js no trabalho?,1,text,Desenvolvedor(a) NodeJs,SIS Innov & Tec
244,direct-salary:por favor qual sua pretensão salarial mensal?,5000,text-or-textarea,Desenvolvedor Front End,FCB Health Brazil | An IPG Health Compan
245,por favor qual sua pretensão salarial mensal?,5000,text,Desenvolvedor Front End,FCB Health Brazil | An IPG Health Compan
246,"Você possui inglês avançado? [  ""Selecionar opção"", ""Yes"", ""No"", ]",Yes,select,Full Stack Developer (Python and React.js),Mouts T
247,qual sua expectativa salarial pj?,7000,text,Full Stack Developer (Python and React.js),Mouts T
248,"Você possui experiência sólida com React.js? [  ""Selecionar opção"", ""Yes"", ""No"",...",Yes,select,Full Stack Developer (Python and React.js),Mouts T
249,há quantos anos você já usa python no trabalho?,3,text,Full Stack Developer (Python and React.js),Mouts T
253,"Do you have professional experience working with both, React and Node? [  ""Selec...",Yes,select,"Full Stack Engineer, Brazil",Optibu
255,informe o valor de sua pretensão salarial como clt.,5000,text,Desenvolvedor Web Pl,Up Brasi
256,direct-salary:informe o valor de sua pretensão salarial como clt.,5000,text-or-textarea,Desenvolvedor Web Pl,Up Brasi
257,how many years of work experience do you have with data engineering?,3,text,Data Engineer,Brick Abod
258,"What is your level of proficiency in English? [  ""Select an option"", ""None"", ""Co...",Yes,select,Data Engineer,Brick Abod
259,how many years of work experience do you have with python (programming language)...,2,text,Data Engineer,Brick Abod
261,"Você possui conhecimento em banco de dados relacionais? [  ""Selecionar opção"", ""...",Yes,select,Desenvolvedor full stack,Tata Consultancy Service
262,há quanto tempo você trabalha com jboss?,3,text,Desenvolvedor full stack,Tata Consultancy Service
263,"há quanto tempo você atua com javascript/typescript e frameworks como angular, r...",3,text,Desenvolvedor full stack,Tata Consultancy Service
264,há quantos anos você já usa spring boot no trabalho?,3,text,Desenvolvedor full stack,Tata Consultancy Service
266,há quantos anos você já usa java no trabalho?,0,text,Desenvolvedor full stack,Tata Consultancy Service
269,"Are you comfortable working in a remote setting? [  ""Yes""<Yes>, ""No""<No>, ]","""Yes""<Yes>",radio,Full Stack Developer,DRISHTICON In
270,"What is your level of proficiency in English? [  ""Select an option"", ""None"", ""Co...",Yes,select,Full Stack Developer,DRISHTICON In
271,"Você possui conhecimento em Java com Spring Framework? [  ""Selecionar opção"", ""Y...",Yes,select,Desenvolvedor(a) Java,SysManage
272,qual é a sua pretensão salarial para uma contratação no regime pj?,7000,text,Desenvolvedor(a) Java,SysManage
273,"Você possui experiência com PL/SQL? [  ""Selecionar opção"", ""Yes"", ""No"", ]",Yes,select,Desenvolvedor(a) Java,SysManage
274,direct-salary:qual é a sua pretensão salarial para uma contratação no regime pj?,7000,text-or-textarea,Desenvolvedor(a) Java,SysManage
275,"Você possui conhecimento em Inteligência Artificial (IA)? [  ""Selecionar opção"",...",Yes,select,Desenvolvedor(a) Java,SysManage
277,"Você possui experiência com Banco de Dados Oracle? [  ""Selecionar opção"", ""Yes"",...",Yes,select,Desenvolvedor(a) Java,SysManage
278,"Você possui noções de desenvolvimento Front-End com Angular? [  ""Selecionar opçã...",Yes,select,Desenvolvedor(a) Java,SysManage
279,"Caso seja residente do Rio de Janeiro, teria disponibilidade para o regime híbri...",Yes,select,Desenvolvedor(a) Java,SysManage
285,possui quanto tempo de experiência com angular?,3,text,Desenvolvedor de front-end Angular,Stefanini Brasi
286,"Aceita hibrido 3 x na semana? [  ""Selecionar opção"", ""Yes"", ""No"", ]",Yes,select,Desenvolvedor de front-end Angular,Stefanini Brasi
287,"Aceita atuar hibrido em sp 3x na semana? [  ""Selecionar opção"", ""Yes"", ""No"", ]",Yes,select,Desenvolvedor de front-end Angular,Stefanini Brasi
288,"Possui experiência em sistema bancário ? [  ""Selecionar opção"", ""Yes"", ""No"", ]",Yes,select,Desenvolvedor de front-end Angular,Stefanini Brasi
289,qual sua pretensão salarial clt?,5000,text,Desenvolvedor de front-end Angular,Stefanini Brasi
290,direct-salary:qual sua pretensão salarial clt?,5000,text-or-textarea,Desenvolvedor de front-end Angular,Stefanini Brasi
295,"Já utilizou serviços AWS (Lambda, API Gateway, RDS, ECS, EKS)?  [  ""Selecionar o...",Yes,select,Desenvolvedor Full Stack Java Pleno,Code Grou
296,Possui disponibilidade para atuar híbrido 2x na semana na região da Faria Lima? ...,Yes,select,Desenvolvedor Full Stack Java Pleno,Code Grou
297,Possui experiência com microsserviços ou migração de monólitos para microsserviç...,Yes,select,Desenvolvedor Full Stack Java Pleno,Code Grou
300,há quantos anos você já usa java no trabalho?,0,text,Desenvolvedor Full Stack Java Pleno,Code Grou
302,há quantos anos você já usa java no trabalho?,0,text,Desenvolvedor Java,Four
303,há quantos anos você já usa rest (transferência de estado representacional ) no ...,1,text,Desenvolvedor Java,Four
304,quantos anos de experiência com tecnologia da informação você tem?,7,text,Desenvolvedor Java,Four
305,"Ja teve experiencias anteriores atuando em projetos internacionais?  [  ""Selecio...",Yes,select,Desenvolvedor Fullstack Senior (Node/React),Jaya Tec
306,"Ja teve experiencias anteriores atuando em projetos internacionais?  [  ""Selecio...",No,select,Desenvolvedor Fullstack Senior (Node/React),Jaya Tec
307,"Possui ingles fluente?  [  ""Selecionar opção"", ""Yes"", ""No"", ]",Yes,select,Desenvolvedor Fullstack Senior (Node/React),Jaya Tec
308,há quantos anos você já usa react.js no trabalho?,1,text,Desenvolvedor Fullstack Senior (Node/React),Jaya Tec
309,há quantos anos você já usa node.js no trabalho?,1,text,Desenvolvedor Fullstack Senior (Node/React),Jaya Tec
310,"para uma contratação na modalidade contractor e remuneração em dolar, qual a sua...",5000,text,Desenvolvedor Fullstack Senior (Node/React),Jaya Tec
311,direct-salary:para uma contratação na modalidade contractor e remuneração em dol...,5000,text-or-textarea,Desenvolvedor Fullstack Senior (Node/React),Jaya Tec
316,"What is your level of proficiency in English? [  ""Select an option"", ""None"", ""Co...",Yes,select,Web Developer,International Digital Partner
317,how many years of work experience do you have with strapi?,3,text,Web Developer,International Digital Partner
318,how many years of work experience do you have with react.js?,1,text,Web Developer,International Digital Partner
320,"Tem disponibilidade e interesse em atuar como PJ (prestador de serviços)? [  ""Se...",Yes,select,Desenvolvedor Full Stack,Smart Sk
321,"Tem disponibilidade e interesse em trabalhar no formato 100% presencial, no Cent...",Yes,select,Desenvolvedor Full Stack,Smart Sk
322,direct-salary:qual sua pretensão para atuar no modelo pj? (12 nfs),5000,text-or-textarea,Desenvolvedor Full Stack,Smart Sk
323,há quantos anos você já usa javascript no trabalho?,3,text,Desenvolvedor Full Stack,Smart Sk
324,há quantos anos você já usa react.js no trabalho?,1,text,Desenvolvedor Full Stack,Smart Sk
325,há quantos anos você já usa node.js no trabalho?,1,text,Desenvolvedor Full Stack,Smart Sk
